SN,Train_No,Station_Code,1A,2A,3A,SL,Station_Name,Route_Number,Arrival_time,Departure_Time,Distance,Arrival_Minutes,Departure_Minutes,Arrival_Formatted,Departure_Formatted
1,107,SWV,100,100,100,100,SAWANTWADI R,1,00:00:00,10:25:00,0,0.0,625.0,00:00,10:25
2,107,THVM,260,228,196,164,THIVIM,1,11:06:00,11:08:00,32,666.0,668.0,11:06,11:08
3,107,KRMI,345,296,247,198,KARMALI,1,11:28:00,11:30:00,49,688.0,690.0,11:28,11:30
4,107,MAO,490,412,334,256,MADGOAN JN.,1,12:10:00,00:00:00,78,730.0,0.0,12:10,00:00
1,108,MAO,100,100,100,100,MADGOAN JN.,1,00:00:00,20:30:00,0,0.0,1230.0,00:00,20:30
2,108,KRMI,265,232,199,166,KARMALI,1,21:04:00,21:06:00,33,1264.0,1266.0,21:04,21:06
3,108,THVM,355,304,253,202,THIVIM,1,21:26:00,21:28:00,51,1286.0,1288.0,21:26,21:28
4,108,SWV,515,432,349,266,SAWANTWADI R,1,22:25:00,00:00:00,83,1345.0,0.0,22:25,00:00
1,128,MAO,100,100,100,100,MADGOAN JN.,1,19:40:00,19:40:00,0,1180.0,1180.0,19:40,19:40
2,128,KRMI,265,232,199,166,KARMALI,1,20:18:00,20:20:00,33,1218.0,1220.0,20:18,20:20
3,128,THVM,355,304,253,202,THIVIM,1,20:40:00,20:42:00,51,1240.0,1242.0,20:40,20:42
4,128,SWV,515,432,349,266,SAWANTWADI R,1,21:16:00,21:18:00,83,1276.0,1278.0,21:16,21:18
5,128,KUDL,620,516,412,308,KUDAL,1,21:38:00,21:40:00,104,1298.0,1300.0,21:38,21:40
6,128,SNDD,670,556,442,328,SINDHU DURG,1,21:54:00,21:56:00,114,1314.0,1316.0,21:54,21:56
7,128,KKW,760,628,496,364,KANKAVALI,1,22:18:00,22:20:00,132,1338.0,1340.0,22:18,22:20
8,128,VBW,915,752,589,426,VAIBHAVWADI,1,22:40:00,22:42:00,163,1360.0,1362.0,22:40,22:42
9,128,RAJP,995,816,637,458,RAJAPUR ROAD,1,22:56:00,22:58:00,179,1376.0,1378.0,22:56,22:58
10,128,RN,1320,1076,832,588,RATNAGIRI,1,23:52:00,23:57:00,244,1432.0,1437.0,23:52,23:57
11,128,SGR,1500,1220,940,660,SANGMESHWAR,1,00:34:00,00:36:00,280,34.0,36.0,00:34,00:36
12,128,CHI,1710,1388,1066,744,CHIPLUN,1,01:10:00,01:12:00,322,70.0,72.0,01:10,01:12
13,128,KHED,1860,1508,1156,804,KHED,1,01:52:00,01:54:00,352,112.0,114.0,01:52,01:54
14,128,MNI,2210,1788,1366,944,MANGAON,1,04:00:00,04:02:00,422,240.0,242.0,04:00,04:02
15,128,ROHA,2375,1920,1465,1010,ROHA,1,04:55:00,05:00:00,455,295.0,300.0,04:55,05:00
16,128,PNVL,2760,2228,1696,1164,PANVEL,1,06:20:00,06:25:00,532,380.0,385.0,06:20,06:25
17,128,KJT,2900,2340,1780,1220,KARJAT,1,07:40:00,07:45:00,560,460.0,465.0,07:40,07:45
