Train_No,Start_Station_Code,Start_Station_Name,End_Station_Code,End_Station_Name,Total_Stops,Total_Distance_km
107,SWV,SAWANTWADI R,MAO,MADGOAN JN.,4,78
108,MAO,MADGOAN JN.,SWV,SAWANTWADI R,4,83
128,MAO,MADGOAN JN.,KOP,CHHATRAPATI,22,978
290,DSJ,DELHI-SAFDAR,DSJ,DELHI-SAFDAR,14,2694
401,AWB,AURANGABAD,BSB,VARANASI JN.,12,1618
421,LKO,LUCKNOW JN.,SVDK,SHRI MATA VA,5,1276
422,SVDK,SHRI MATA VA,LKO,LUCKNOW JN.,5,1277
477,SSA,SIRSA,SSA,SIRSA,14,2616
502,RJPB,RAJENDRANAGA,UMB,AMBALA CANTT,9,1206
504,PNBE,PATNA JN.,BTI,BATHINDA JN,3,1313
506,PNBE,PATNA JN.,PTA,PATIALA,3,1161
557,URK,URKURA,PJP,PANJIPARA,2,1301
604,PNBE,PATNA JN.,ASR,AMRITSAR JN.,3,1429
1011,CSMT,CST-MUMBAI,NGP,NAGPUR JN.(C,18,841
1037,LTT,LOKMANYA TIL,SWV,SAWANTWADI R,10,513
1038,SWV,SAWANTWADI R,LTT,LOKMANYA TIL,10,503
1045,LTT,LOKMANYA TIL,KRMI,KARMALI,11,563
1119,AJNI,AJNI,KRMI,KARMALI,24,1329
1120,KRMI,KARMALI,AJNI,AJNI,24,1319
1122,KRMI,KARMALI,CSMT,CST-MUMBAI,14,569
1196,NGP,NAGPUR JN.(C,KRMI,KARMALI,26,1332
1301,PUNE,PUNE JN.,MAJN,MANGALORE JN,17,976
1302,MAJN,MANGALORE JN,PUNE,PUNE JN.,17,973
1442,DSJ,DELHI-SAFDAR,KK,KHADKI,13,1581
1655,PUNE,PUNE JN.,JBP,JABALPUR,13,1050
1656,JBP,JABALPUR,PUNE,PUNE JN.,13,1050
1705,BDTS,BANDRA TERMI,JBP,JABALPUR,14,1261
1706,JBP,JABALPUR,BDTS,BANDRA TERMI,14,1262
1707,JBP,JABALPUR,ATT,ATARI JN,17,1360
1708,ATT,ATARI JN,JBP,JABALPUR,17,1362
2025,CSMT,CST-MUMBAI,KRMI,KARMALI,7,579
2026,KRMI,KARMALI,CSMT,CST-MUMBAI,7,569
2191,JBP,JABALPUR,SRC,SANTRAGACHI,16,1123
2192,SRC,SANTRAGACHI,JBP,JABALPUR,16,1123
2195,REWA,REWA,BPL,BHOPAL,10,551
2196,BPL,BHOPAL,REWA,REWA,10,549
2515,TVC,TRIVANDRUM C,SCL,SILCHAR,58,3939
2651,PLNI,PALANI,POY,POLLACHI,3,62
2652,POY,POLLACHI,PLNI,PALANI,3,62
2731,HYB,HYDERABAD DE,JP,JAIPUR JN.,29,1854
2732,JP,JAIPUR JN.,HYB,HYDERABAD DE,29,1853
2821,PUNE,PUNE JN.,SRC,SANTRAGACHI,14,2066
2822,SRC,SANTRAGACHI,PUNE,PUNE JN.,14,2073
2833,RJT,RAJKOT,SRC,SANTRAGACHI,29,2332
2834,SRC,SANTRAGACHI,RJT,RAJKOT,29,2351
2841,SRC,SANTRAGACHI,MAS,CHENNAI CENT,12,1656
2842,MAS,CHENNAI CENT,SRC,SANTRAGACHI,12,1656
2845,PUNE,PUNE JN.,HTE,HATIA,17,1770
2846,HTE,HATIA,PUNE,PUNE JN.,17,1791
3101,KOAA,KOLKATA,PURI,PURI,9,523
3102,PURI,PURI,KOAA,KOLKATA,9,522
3301,ASN,ASANSOL MAIN,DHN,DHANBAD JN.,13,58
3302,DHN,DHANBAD JN.,ASN,ASANSOL MAIN,13,58
3305,DHN,DHANBAD JN.,KDS,KUSUNDA,2,3
3306,KDS,KUSUNDA,DHN,DHANBAD JN.,2,3
3307,SZE,SONARDIH,PLJE,PHULWARTANR,4,4
3308,PLJE,PHULWARTANR,SZE,SONARDIH,4,4
